V,Visa Inc.,Information Technology,1403161
VNO,Vornado Realty Trust,Financials,899689
VMC,Vulcan Materials,Materials,1396009
WMT,Wal-Mart Stores,Consumer Staples,104169
WAG,Walgreen Co.,Consumer Staples,104207
DIS,The Walt Disney Company,Consumer Discretionary,1001039
GHC,Graham Holdings Company,Consumer Discretionary,104889
WM,Waste Management Inc.,Industrials,823768
WAT,Waters Corporation,Health Care,1000697
WLP,WellPoint Inc.,Health Care,1156039
WFC,Wells Fargo,Financials,72971
WDC,Western Digital,Information Technology,106040
WU,Western Union Co,Information Technology,1365135
WY,Weyerhaeuser Corp.,Financials,106535
WHR,Whirlpool Corp.,Consumer Discretionary,106640
WFM,Whole Foods Market,Consumer Staples,865436
WMB,Williams Cos.,Energy,107263
WIN,Windstream Communications,Telecommunications Services,1282266
WEC,Wisconsin Energy Corporation,Utilities,783325
WYN,Wyndham Worldwide,Consumer Discretionary,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,1174922
XEL,Xcel Energy Inc,Utilities,72903
XRX,Xerox Corp.,Information Technology,108772
XLNX,Xilinx Inc,Information Technology,743988
XL,XL Capital,Financials,875159
XYL,Xylem Inc.,Industrials,1524472
YHOO,Yahoo Inc.,Information Technology,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,1041061
ZMH,Zimmer Holdings,Health Care,1136869
ZION,Zions Bancorp,Financials,109380
ZTS,Zoetis,Health Care,1555280
